n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,2x4,exp,VDW,0.01,1,1,0,1,0.75,0
20,2x4,exp,KWF,0.01,1,1,0,1,0.75,0
20,2x4,exp,RNK,0.05,2,2,0,1,1,0
20,2x4,exp,INT,0.05,2,2,0,1,1,0
20,2x4,exp,VDW,0.05,2,2,0,1,1,0
20,2x4,exp,KWF,0.05,2,2,0,1,1,0
20,2x4,exp,RNK,0.01,2,2,0,1,1,0
20,2x4,exp,INT,0.01,2,2,0,1,1,0
20,2x4,exp,VDW,0.01,2,2,0,1,1,0
20,2x4,exp,KWF,0.01,2,2,0,1,1,0
20,2x4,exp,RNK,0.05,4,4,0,1,1,0.25
20,2x4,exp,INT,0.05,4,4,0,1,1,0.25
20,2x4,exp,VDW,0.05,4,4,0,1,1,0
20,2x4,exp,KWF,0.05,4,4,0,1,1,0
20,2x4,exp,RNK,0.01,4,4,0,1,1,0
20,2x4,exp,INT,0.01,4,4,0,1,1,0
20,2x4,exp,VDW,0.01,4,4,0,1,1,0
20,2x4,exp,KWF,0.01,4,4,0,1,1,0
20,2x4,exp,RNK,0.05,8,8,0,1,1,0.75
20,2x4,exp,INT,0.05,8,8,0,1,1,0
20,2x4,exp,VDW,0.05,8,8,0,1,1,0
20,2x4,exp,KWF,0.05,8,8,0,1,1,0
20,2x4,exp,RNK,0.01,8,8,0,1,1,0.25
20,2x4,exp,INT,0.01,8,8,0,1,1,0
20,2x4,exp,VDW,0.01,8,8,0,1,1,0
20,2x4,exp,KWF,0.01,8,8,0,1,1,0
20,2x4,exp,RNK,0.05,0.5,0,0,0.5,0.25,0
20,2x4,exp,INT,0.05,0.5,0,0,0.75,0.25,0
20,2x4,exp,VDW,0.05,0.5,0,0,0.5,0.25,0
20,2x4,exp,KWF,0.05,0.5,0,0,0.5,0.25,0
20,2x4,exp,RNK,0.01,0.5,0,0,0.25,0,0
20,2x4,exp,INT,0.01,0.5,0,0,0.25,0,0
20,2x4,exp,VDW,0.01,0.5,0,0,0.25,0.25,0
20,2x4,exp,KWF,0.01,0.5,0,0,0,0.25,0
20,2x4,exp,RNK,0.05,1,0,0,1,0,0
20,2x4,exp,INT,0.05,1,0,0,1,0,0
20,2x4,exp,VDW,0.05,1,0,0,1,0.25,0.25
20,2x4,exp,KWF,0.05,1,0,0,1,0.25,0.25
20,2x4,exp,RNK,0.01,1,0,0,1,0,0
20,2x4,exp,INT,0.01,1,0,0,1,0,0
20,2x4,exp,VDW,0.01,1,0,0,1,0,0
20,2x4,exp,KWF,0.01,1,0,0,1,0,0
20,2x4,exp,RNK,0.05,2,0,0,1,0.25,0
20,2x4,exp,INT,0.05,2,0,0,1,0.25,0
20,2x4,exp,VDW,0.05,2,0,0,1,0.25,0
20,2x4,exp,KWF,0.05,2,0,0,1,0.25,0
20,2x4,exp,RNK,0.01,2,0,0,1,0,0
20,2x4,exp,INT,0.01,2,0,0,1,0,0
20,2x4,exp,VDW,0.01,2,0,0,1,0,0
20,2x4,exp,KWF,0.01,2,0,0,1,0,0
20,2x4,exp,RNK,0.05,4,0,0,1,0,0
20,2x4,exp,INT,0.05,4,0,0,1,0,0
20,2x4,exp,VDW,0.05,4,0,0,1,0.25,0.25
20,2x4,exp,KWF,0.05,4,0,0,1,0.25,0.25
20,2x4,exp,RNK,0.01,4,0,0,1,0,0
20,2x4,exp,INT,0.01,4,0,0,1,0,0
20,2x4,exp,VDW,0.01,4,0,0,1,0,0
20,2x4,exp,KWF,0.01,4,0,0,1,0,0
20,2x4,exp,RNK,0.05,8,0,0,1,0,0
20,2x4,exp,INT,0.05,8,0,0,1,0,0
20,2x4,exp,VDW,0.05,8,0,0,1,0.25,0
20,2x4,exp,KWF,0.05,8,0,0,1,0.25,0
20,2x4,exp,RNK,0.01,8,0,0,1,0,0
20,2x4,exp,INT,0.01,8,0,0,1,0,0
20,2x4,exp,VDW,0.01,8,0,0,1,0,0
20,2x4,exp,KWF,0.01,8,0,0,1,0,0
20,2x4,exp,RNK,0.05,0,0.5,0,0,0.25,0
20,2x4,exp,INT,0.05,0,0.5,0,0,0.25,0
20,2x4,exp,VDW,0.05,0,0.5,0,0,0,0
20,2x4,exp,KWF,0.05,0,0.5,0,0,0,0
20,2x4,exp,RNK,0.01,0,0.5,0,0,0.25,0
20,2x4,exp,INT,0.01,0,0.5,0,0,0,0
20,2x4,exp,VDW,0.01,0,0.5,0,0,0,0
20,2x4,exp,KWF,0.01,0,0.5,0,0,0,0
20,2x4,exp,RNK,0.05,0,1,0,0,1,0
20,2x4,exp,INT,0.05,0,1,0,0,1,0
20,2x4,exp,VDW,0.05,0,1,0,0.25,1,0
20,2x4,exp,KWF,0.05,0,1,0,0,1,0
20,2x4,exp,RNK,0.01,0,1,0,0,1,0
20,2x4,exp,INT,0.01,0,1,0,0,1,0
20,2x4,exp,VDW,0.01,0,1,0,0,0.75,0
20,2x4,exp,KWF,0.01,0,1,0,0,0.75,0
20,2x4,exp,RNK,0.05,0,2,0,0,1,0.25
20,2x4,exp,INT,0.05,0,2,0,0,1,0.25
20,2x4,exp,VDW,0.05,0,2,0,0,1,0.25
20,2x4,exp,KWF,0.05,0,2,0,0,1,0.25
20,2x4,exp,RNK,0.01,0,2,0,0,1,0.25
20,2x4,exp,INT,0.01,0,2,0,0,1,0.25
20,2x4,exp,VDW,0.01,0,2,0,0,1,0
20,2x4,exp,KWF,0.01,0,2,0,0,1,0
20,2x4,exp,RNK,0.05,0,4,0,0,1,0
20,2x4,exp,INT,0.05,0,4,0,0,1,0
20,2x4,exp,VDW,0.05,0,4,0,0,1,0
20,2x4,exp,KWF,0.05,0,4,0,0,1,0
20,2x4,exp,RNK,0.01,0,4,0,0,1,0
20,2x4,exp,INT,0.01,0,4,0,0,1,0
20,2x4,exp,VDW,0.01,0,4,0,0,1,0
20,2x4,exp,KWF,0.01,0,4,0,0,1,0
20,2x4,exp,RNK,0.05,0,8,0,0,1,0.25
20,2x4,exp,INT,0.05,0,8,0,0,1,0
20,2x4,exp,VDW,0.05,0,8,0,0,1,0
20,2x4,exp,KWF,0.05,0,8,0,0,1,0
20,2x4,exp,RNK,0.01,0,8,0,0,1,0
20,2x4,exp,INT,0.01,0,8,0,0,1,0
20,2x4,exp,VDW,0.01,0,8,0,0,1,0
20,2x4,exp,KWF,0.01,0,8,0,0,1,0
20,2x4,binom,RNK,0.05,0,0,0,0,0,0
20,2x4,binom,INT,0.05,0,0,0,0,0,0
20,2x4,binom,VDW,0.05,0,0,0,0,0,0
20,2x4,binom,KWF,0.05,0,0,0,0,0,0
20,2x4,binom,RNK,0.01,0,0,0,0,0,0
20,2x4,binom,INT,0.01,0,0,0,0,0,0
20,2x4,binom,VDW,0.01,0,0,0,0,0,0
20,2x4,binom,KWF,0.01,0,0,0,0,0,0
20,2x4,binom,RNK,0.05,0.5,0.5,0,0.75,0.25,0.25
20,2x4,binom,INT,0.05,0.5,0.5,0,0.75,0.25,0.25
20,2x4,binom,VDW,0.05,0.5,0.5,0,0.75,0,0.25
20,2x4,binom,KWF,0.05,0.5,0.5,0,0.75,0,0.25
20,2x4,binom,RNK,0.01,0.5,0.5,0,0.25,0,0
20,2x4,binom,INT,0.01,0.5,0.5,0,0.5,0.25,0.25
20,2x4,binom,VDW,0.01,0.5,0.5,0,0.5,0,0
20,2x4,binom,KWF,0.01,0.5,0.5,0,0.5,0,0
20,2x4,binom,RNK,0.05,1,1,0,1,0.75,0
20,2x4,binom,INT,0.05,1,1,0,1,0.75,0.25
20,2x4,binom,VDW,0.05,1,1,0,1,1,0
20,2x4,binom,KWF,0.05,1,1,0,1,1,0
20,2x4,binom,RNK,0.01,1,1,0,1,0.75,0
20,2x4,binom,INT,0.01,1,1,0,1,0.75,0
20,2x4,binom,VDW,0.01,1,1,0,1,0.75,0
20,2x4,binom,KWF,0.01,1,1,0,1,0.75,0
20,2x4,binom,RNK,0.05,2,2,0,1,1,0.75
20,2x4,binom,INT,0.05,2,2,0,1,1,0.75
20,2x4,binom,VDW,0.05,2,2,0,1,1,0.75
20,2x4,binom,KWF,0.05,2,2,0,1,1,0.75
20,2x4,binom,RNK,0.01,2,2,0,1,1,0.75
20,2x4,binom,INT,0.01,2,2,0,1,1,0.75
20,2x4,binom,VDW,0.01,2,2,0,1,1,0.5
20,2x4,binom,KWF,0.01,2,2,0,1,1,0.5
20,2x4,binom,RNK,0.05,4,4,0,1,1,1
20,2x4,binom,INT,0.05,4,4,0,1,1,1
20,2x4,binom,VDW,0.05,4,4,0,1,1,1
20,2x4,binom,KWF,0.05,4,4,0,1,1,1
20,2x4,binom,RNK,0.01,4,4,0,1,1,1
20,2x4,binom,INT,0.01,4,4,0,1,1,1
20,2x4,binom,VDW,0.01,4,4,0,1,1,1
20,2x4,binom,KWF,0.01,4,4,0,1,1,1
20,2x4,binom,RNK,0.05,8,8,0,1,1,1
20,2x4,binom,INT,0.05,8,8,0,1,1,1
20,2x4,binom,VDW,0.05,8,8,0,1,1,1
20,2x4,binom,KWF,0.05,8,8,0,1,1,1
20,2x4,binom,RNK,0.01,8,8,0,1,1,1
20,2x4,binom,INT,0.01,8,8,0,1,1,1
20,2x4,binom,VDW,0.01,8,8,0,1,1,1
20,2x4,binom,KWF,0.01,8,8,0,1,1,1
20,2x4,binom,RNK,0.05,0.5,0,0,0.5,0,0
20,2x4,binom,INT,0.05,0.5,0,0,1,0,0
20,2x4,binom,VDW,0.05,0.5,0,0,0.5,0,0
20,2x4,binom,KWF,0.05,0.5,0,0,0.5,0,0
20,2x4,binom,RNK,0.01,0.5,0,0,0.5,0,0
20,2x4,binom,INT,0.01,0.5,0,0,0.5,0,0
20,2x4,binom,VDW,0.01,0.5,0,0,0.5,0,0
20,2x4,binom,KWF,0.01,0.5,0,0,0.5,0,0
20,2x4,binom,RNK,0.05,1,0,0,1,0,0
20,2x4,binom,INT,0.05,1,0,0,1,0,0
20,2x4,binom,VDW,0.05,1,0,0,1,0,0
20,2x4,binom,KWF,0.05,1,0,0,1,0,0
20,2x4,binom,RNK,0.01,1,0,0,1,0,0
20,2x4,binom,INT,0.01,1,0,0,1,0,0
20,2x4,binom,VDW,0.01,1,0,0,1,0,0
20,2x4,binom,KWF,0.01,1,0,0,1,0,0
20,2x4,binom,RNK,0.05,2,0,0,1,0,0
20,2x4,binom,INT,0.05,2,0,0,1,0,0
20,2x4,binom,VDW,0.05,2,0,0,1,0,0
20,2x4,binom,KWF,0.05,2,0,0,1,0,0
20,2x4,binom,RNK,0.01,2,0,0,1,0,0
20,2x4,binom,INT,0.01,2,0,0,1,0,0
20,2x4,binom,VDW,0.01,2,0,0,1,0,0
20,2x4,binom,KWF,0.01,2,0,0,1,0,0
20,2x4,binom,RNK,0.05,4,0,0,1,0,0
20,2x4,binom,INT,0.05,4,0,0,1,0,0
20,2x4,binom,VDW,0.05,4,0,0,1,0,0
20,2x4,binom,KWF,0.05,4,0,0,1,0,0
20,2x4,binom,RNK,0.01,4,0,0,1,0,0
20,2x4,binom,INT,0.01,4,0,0,1,0,0
20,2x4,binom,VDW,0.01,4,0,0,1,0,0
20,2x4,binom,KWF,0.01,4,0,0,1,0,0
20,2x4,binom,RNK,0.05,8,0,0,1,0.25,0.25
20,2x4,binom,INT,0.05,8,0,0,1,0.25,0.25
20,2x4,binom,VDW,0.05,8,0,0,1,0,0
20,2x4,binom,KWF,0.05,8,0,0,1,0,0
20,2x4,binom,RNK,0.01,8,0,0,1,0,0
20,2x4,binom,INT,0.01,8,0,0,1,0,0
20,2x4,binom,VDW,0.01,8,0,0,1,0,0
20,2x4,binom,KWF,0.01,8,0,0,1,0,0
20,2x4,binom,RNK,0.05,0,0.5,0,0,0.5,0
20,2x4,binom,INT,0.05,0,0.5,0,0,0.5,0
20,2x4,binom,VDW,0.05,0,0.5,0,0,0.5,0
20,2x4,binom,KWF,0.05,0,0.5,0,0,0.5,0
20,2x4,binom,RNK,0.01,0,0.5,0,0,0.25,0
20,2x4,binom,INT,0.01,0,0.5,0,0,0.25,0
20,2x4,binom,VDW,0.01,0,0.5,0,0,0.25,0
20,2x4,binom,KWF,0.01,0,0.5,0,0,0.25,0
20,2x4,binom,RNK,0.05,0,1,0,0,1,0.25
20,2x4,binom,INT,0.05,0,1,0,0,1,0.25
20,2x4,binom,VDW,0.05,0,1,0,0,1,0
20,2x4,binom,KWF,0.05,0,1,0,0,1,0
20,2x4,binom,RNK,0.01,0,1,0,0,1,0
20,2x4,binom,INT,0.01,0,1,0,0,1,0
20,2x4,binom,VDW,0.01,0,1,0,0,0.75,0
20,2x4,binom,KWF,0.01,0,1,0,0,0.75,0
20,2x4,binom,RNK,0.05,0,2,0,0,1,0
20,2x4,binom,INT,0.05,0,2,0,0,1,0
20,2x4,binom,VDW,0.05,0,2,0,0,1,0
20,2x4,binom,KWF,0.05,0,2,0,0,1,0
20,2x4,binom,RNK,0.01,0,2,0,0,1,0
20,2x4,binom,INT,0.01,0,2,0,0,1,0
20,2x4,binom,VDW,0.01,0,2,0,0,1,0
20,2x4,binom,KWF,0.01,0,2,0,0,1,0
20,2x4,binom,RNK,0.05,0,4,0,0,1,0
20,2x4,binom,INT,0.05,0,4,0,0,1,0
20,2x4,binom,VDW,0.05,0,4,0,0,1,0
20,2x4,binom,KWF,0.05,0,4,0,0,1,0
20,2x4,binom,RNK,0.01,0,4,0,0,1,0
20,2x4,binom,INT,0.01,0,4,0,0,1,0
20,2x4,binom,VDW,0.01,0,4,0,0,1,0
20,2x4,binom,KWF,0.01,0,4,0,0,1,0
20,2x4,binom,RNK,0.05,0,8,0,0,1,0
20,2x4,binom,INT,0.05,0,8,0,0,1,0
20,2x4,binom,VDW,0.05,0,8,0,0,1,0
20,2x4,binom,KWF,0.05,0,8,0,0,1,0
20,2x4,binom,RNK,0.01,0,8,0,0,1,0
20,2x4,binom,INT,0.01,0,8,0,0,1,0
20,2x4,binom,VDW,0.01,0,8,0,0,1,0
20,2x4,binom,KWF,0.01,0,8,0,0,1,0
20,2x4,poisson,RNK,0.05,0,0,0,0,0.25,0
20,2x4,poisson,INT,0.05,0,0,0,0,0.25,0
20,2x4,poisson,VDW,0.05,0,0,0,0,0,0.25
20,2x4,poisson,KWF,0.05,0,0,0,0,0,0.25
20,2x4,poisson,RNK,0.01,0,0,0,0,0.25,0
20,2x4,poisson,INT,0.01,0,0,0,0,0,0
20,2x4,poisson,VDW,0.01,0,0,0,0,0,0
20,2x4,poisson,KWF,0.01,0,0,0,0,0,0
20,2x4,poisson,RNK,0.05,0.5,0.5,0,1,1,0
20,2x4,poisson,INT,0.05,0.5,0.5,0,1,1,0
20,2x4,poisson,VDW,0.05,0.5,0.5,0,1,1,0
20,2x4,poisson,KWF,0.05,0.5,0.5,0,1,1,0
20,2x4,poisson,RNK,0.01,0.5,0.5,0,1,0.75,0
20,2x4,poisson,INT,0.01,0.5,0.5,0,1,0.75,0
20,2x4,poisson,VDW,0.01,0.5,0.5,0,1,0.75,0
20,2x4,poisson,KWF,0.01,0.5,0.5,0,1,0.75,0
20,2x4,poisson,RNK,0.05,1,1,0,1,1,0
20,2x4,poisson,INT,0.05,1,1,0,1,1,0.25
20,2x4,poisson,VDW,0.05,1,1,0,1,1,0
20,2x4,poisson,KWF,0.05,1,1,0,1,1,0
20,2x4,poisson,RNK,0.01,1,1,0,0.75,1,0
20,2x4,poisson,INT,0.01,1,1,0,0.75,1,0
20,2x4,poisson,VDW,0.01,1,1,0,0.75,1,0
20,2x4,poisson,KWF,0.01,1,1,0,0.75,1,0
20,2x4,poisson,RNK,0.05,2,2,0,1,1,1
20,2x4,poisson,INT,0.05,2,2,0,1,1,1
20,2x4,poisson,VDW,0.05,2,2,0,1,1,0.75
20,2x4,poisson,KWF,0.05,2,2,0,1,1,0.5
20,2x4,poisson,RNK,0.01,2,2,0,1,1,0.75
20,2x4,poisson,INT,0.01,2,2,0,1,1,1
20,2x4,poisson,VDW,0.01,2,2,0,1,1,0
20,2x4,poisson,KWF,0.01,2,2,0,1,1,0
20,2x4,poisson,RNK,0.05,4,4,0,1,1,1
20,2x4,poisson,INT,0.05,4,4,0,1,1,1
20,2x4,poisson,VDW,0.05,4,4,0,1,1,1
20,2x4,poisson,KWF,0.05,4,4,0,1,1,1
20,2x4,poisson,RNK,0.01,4,4,0,1,1,1
20,2x4,poisson,INT,0.01,4,4,0,1,1,1
20,2x4,poisson,VDW,0.01,4,4,0,1,1,1
20,2x4,poisson,KWF,0.01,4,4,0,1,1,1
20,2x4,poisson,RNK,0.05,8,8,0,1,1,1
20,2x4,poisson,INT,0.05,8,8,0,1,1,1
20,2x4,poisson,VDW,0.05,8,8,0,1,1,1
20,2x4,poisson,KWF,0.05,8,8,0,1,1,1
20,2x4,poisson,RNK,0.01,8,8,0,1,1,1
20,2x4,poisson,INT,0.01,8,8,0,1,1,1
20,2x4,poisson,VDW,0.01,8,8,0,1,1,1
20,2x4,poisson,KWF,0.01,8,8,0,1,1,1
20,2x4,poisson,RNK,0.05,0.5,0,0,0.75,0.25,0.25
20,2x4,poisson,INT,0.05,0.5,0,0,1,0.25,0.25
20,2x4,poisson,VDW,0.05,0.5,0,0,0.75,0.25,0.25
20,2x4,poisson,KWF,0.05,0.5,0,0,0.75,0.25,0.25
20,2x4,poisson,RNK,0.01,0.5,0,0,0.5,0.25,0
20,2x4,poisson,INT,0.01,0.5,0,0,0.5,0.25,0
20,2x4,poisson,VDW,0.01,0.5,0,0,0.5,0.25,0
20,2x4,poisson,KWF,0.01,0.5,0,0,0.5,0.25,0
20,2x4,poisson,RNK,0.05,1,0,0,1,0,0
20,2x4,poisson,INT,0.05,1,0,0,1,0,0
20,2x4,poisson,VDW,0.05,1,0,0,1,0,0
20,2x4,poisson,KWF,0.05,1,0,0,1,0,0
20,2x4,poisson,RNK,0.01,1,0,0,1,0,0
20,2x4,poisson,INT,0.01,1,0,0,1,0,0
20,2x4,poisson,VDW,0.01,1,0,0,1,0,0
20,2x4,poisson,KWF,0.01,1,0,0,1,0,0
20,2x4,poisson,RNK,0.05,2,0,0,1,0,0.25
20,2x4,poisson,INT,0.05,2,0,0,1,0,0.25
20,2x4,poisson,VDW,0.05,2,0,0,1,0,0
20,2x4,poisson,KWF,0.05,2,0,0,1,0,0
20,2x4,poisson,RNK,0.01,2,0,0,1,0,0
20,2x4,poisson,INT,0.01,2,0,0,1,0,0
20,2x4,poisson,VDW,0.01,2,0,0,1,0,0
20,2x4,poisson,KWF,0.01,2,0,0,1,0,0
20,2x4,poisson,RNK,0.05,4,0,0,1,0,0.25
20,2x4,poisson,INT,0.05,4,0,0,1,0,0.25
20,2x4,poisson,VDW,0.05,4,0,0,1,0,0.25
20,2x4,poisson,KWF,0.05,4,0,0,1,0,0.25
20,2x4,poisson,RNK,0.01,4,0,0,1,0,0.25
20,2x4,poisson,INT,0.01,4,0,0,1,0,0
20,2x4,poisson,VDW,0.01,4,0,0,1,0,0
20,2x4,poisson,KWF,0.01,4,0,0,1,0,0
20,2x4,poisson,RNK,0.05,8,0,0,1,0,0
20,2x4,poisson,INT,0.05,8,0,0,1,0,0
20,2x4,poisson,VDW,0.05,8,0,0,1,0,0
20,2x4,poisson,KWF,0.05,8,0,0,1,0,0
20,2x4,poisson,RNK,0.01,8,0,0,1,0,0
20,2x4,poisson,INT,0.01,8,0,0,1,0,0
20,2x4,poisson,VDW,0.01,8,0,0,1,0,0
20,2x4,poisson,KWF,0.01,8,0,0,1,0,0
20,2x4,poisson,RNK,0.05,0,0.5,0,0,1,0.25
20,2x4,poisson,INT,0.05,0,0.5,0,0,1,0
20,2x4,poisson,VDW,0.05,0,0.5,0,0,1,0
20,2x4,poisson,KWF,0.05,0,0.5,0,0,1,0
20,2x4,poisson,RNK,0.01,0,0.5,0,0,0.75,0
20,2x4,poisson,INT,0.01,0,0.5,0,0,0.75,0
20,2x4,poisson,VDW,0.01,0,0.5,0,0,0.75,0
20,2x4,poisson,KWF,0.01,0,0.5,0,0,0.75,0
20,2x4,poisson,RNK,0.05,0,1,0,0,1,0
20,2x4,poisson,INT,0.05,0,1,0,0,1,0
20,2x4,poisson,VDW,0.05,0,1,0,0,1,0
20,2x4,poisson,KWF,0.05,0,1,0,0,1,0
20,2x4,poisson,RNK,0.01,0,1,0,0,1,0
20,2x4,poisson,INT,0.01,0,1,0,0,1,0
20,2x4,poisson,VDW,0.01,0,1,0,0,1,0
20,2x4,poisson,KWF,0.01,0,1,0,0,1,0
20,2x4,poisson,RNK,0.05,0,2,0,0,1,0
20,2x4,poisson,INT,0.05,0,2,0,0,1,0
20,2x4,poisson,VDW,0.05,0,2,0,0,1,0
20,2x4,poisson,KWF,0.05,0,2,0,0,1,0
20,2x4,poisson,RNK,0.01,0,2,0,0,1,0
20,2x4,poisson,INT,0.01,0,2,0,0,1,0
20,2x4,poisson,VDW,0.01,0,2,0,0,1,0
20,2x4,poisson,KWF,0.01,0,2,0,0,1,0
20,2x4,poisson,RNK,0.05,0,4,0,0,1,0
20,2x4,poisson,INT,0.05,0,4,0,0.25,1,0.5
20,2x4,poisson,VDW,0.05,0,4,0,0.25,1,0
20,2x4,poisson,KWF,0.05,0,4,0,0,1,0
20,2x4,poisson,RNK,0.01,0,4,0,0,1,0
20,2x4,poisson,INT,0.01,0,4,0,0,1,0
20,2x4,poisson,VDW,0.01,0,4,0,0,1,0
20,2x4,poisson,KWF,0.01,0,4,0,0,1,0
20,2x4,poisson,RNK,0.05,0,8,0,0,1,0.25
20,2x4,poisson,INT,0.05,0,8,0,0.25,1,0.25
20,2x4,poisson,VDW,0.05,0,8,0,0.25,1,0
20,2x4,poisson,KWF,0.05,0,8,0,0.25,1,0
20,2x4,poisson,RNK,0.01,0,8,0,0,1,0
20,2x4,poisson,INT,0.01,0,8,0,0,1,0.25
20,2x4,poisson,VDW,0.01,0,8,0,0,1,0
20,2x4,poisson,KWF,0.01,0,8,0,0,1,0
20,2x4,likert,RNK,0.05,0,0,0,0,0,0
20,2x4,likert,INT,0.05,0,0,0,0,0,0
20,2x4,likert,VDW,0.05,0,0,0,0,0,0
20,2x4,likert,KWF,0.05,0,0,0,0,0,0
20,2x4,likert,RNK,0.01,0,0,0,0,0,0
20,2x4,likert,INT,0.01,0,0,0,0,0,0
20,2x4,likert,VDW,0.01,0,0,0,0,0,0
20,2x4,likert,KWF,0.01,0,0,0,0,0,0
20,2x4,likert,RNK,0.05,0.5,0.5,0,0.25,0.5,0
20,2x4,likert,INT,0.05,0.5,0.5,0,0.25,0.5,0
20,2x4,likert,VDW,0.05,0.5,0.5,0,0.25,0.25,0
20,2x4,likert,KWF,0.05,0.5,0.5,0,0.5,0.25,0
20,2x4,likert,RNK,0.01,0.5,0.5,0,0.25,0,0
20,2x4,likert,INT,0.01,0.5,0.5,0,0.25,0,0
20,2x4,likert,VDW,0.01,0.5,0.5,0,0.25,0,0
20,2x4,likert,KWF,0.01,0.5,0.5,0,0.25,0,0
20,2x4,likert,RNK,0.05,1,1,0,1,1,0
20,2x4,likert,INT,0.05,1,1,0,1,1,0
20,2x4,likert,VDW,0.05,1,1,0,1,1,0
20,2x4,likert,KWF,0.05,1,1,0,1,1,0
20,2x4,likert,RNK,0.01,1,1,0,1,1,0
20,2x4,likert,INT,0.01,1,1,0,1,1,0
20,2x4,likert,VDW,0.01,1,1,0,1,1,0
20,2x4,likert,KWF,0.01,1,1,0,1,1,0
20,2x4,likert,RNK,0.05,2,2,0,1,1,0.5
20,2x4,likert,INT,0.05,2,2,0,1,1,0.5
20,2x4,likert,VDW,0.05,2,2,0,1,1,0.5
20,2x4,likert,KWF,0.05,2,2,0,1,1,0.5
20,2x4,likert,RNK,0.01,2,2,0,1,1,0.5
20,2x4,likert,INT,0.01,2,2,0,1,1,0.25
20,2x4,likert,VDW,0.01,2,2,0,1,1,0.25
20,2x4,likert,KWF,0.01,2,2,0,1,1,0.25
20,2x4,likert,RNK,0.05,4,4,0,1,1,0.5
20,2x4,likert,INT,0.05,4,4,0,1,1,0.25
20,2x4,likert,VDW,0.05,4,4,0,1,1,0.25
20,2x4,likert,KWF,0.05,4,4,0,1,1,0.25
20,2x4,likert,RNK,0.01,4,4,0,1,1,0.25
20,2x4,likert,INT,0.01,4,4,0,1,1,0.25
20,2x4,likert,VDW,0.01,4,4,0,1,1,0
20,2x4,likert,KWF,0.01,4,4,0,1,1,0.25
20,2x4,likert,RNK,0.05,8,8,0,1,1,0.75
20,2x4,likert,INT,0.05,8,8,0,1,1,0.75
20,2x4,likert,VDW,0.05,8,8,0,1,1,0.5
20,2x4,likert,KWF,0.05,8,8,0,1,1,0.5
20,2x4,likert,RNK,0.01,8,8,0,1,1,0.75
20,2x4,likert,INT,0.01,8,8,0,1,1,0.75
20,2x4,likert,VDW,0.01,8,8,0,1,1,0.5
20,2x4,likert,KWF,0.01,8,8,0,1,1,0.5
20,2x4,likert,RNK,0.05,0.5,0,0,0.5,0,0
20,2x4,likert,INT,0.05,0.5,0,0,0.5,0,0
20,2x4,likert,VDW,0.05,0.5,0,0,0.5,0,0
20,2x4,likert,KWF,0.05,0.5,0,0,0.5,0,0
20,2x4,likert,RNK,0.01,0.5,0,0,0.25,0,0
20,2x4,likert,INT,0.01,0.5,0,0,0.25,0,0
20,2x4,likert,VDW,0.01,0.5,0,0,0.25,0,0
20,2x4,likert,KWF,0.01,0.5,0,0,0.25,0,0
20,2x4,likert,RNK,0.05,1,0,0,1,0,0
20,2x4,likert,INT,0.05,1,0,0,1,0,0
20,2x4,likert,VDW,0.05,1,0,0,1,0,0
20,2x4,likert,KWF,0.05,1,0,0,1,0,0
20,2x4,likert,RNK,0.01,1,0,0,0.75,0,0
20,2x4,likert,INT,0.01,1,0,0,0.75,0,0
20,2x4,likert,VDW,0.01,1,0,0,0.75,0,0
20,2x4,likert,KWF,0.01,1,0,0,0.75,0,0
20,2x4,likert,RNK,0.05,2,0,0,1,0,0
20,2x4,likert,INT,0.05,2,0,0,1,0,0
20,2x4,likert,VDW,0.05,2,0,0,1,0,0
20,2x4,likert,KWF,0.05,2,0,0,1,0,0
20,2x4,likert,RNK,0.01,2,0,0,1,0,0
20,2x4,likert,INT,0.01,2,0,0,1,0,0
20,2x4,likert,VDW,0.01,2,0,0,1,0,0
20,2x4,likert,KWF,0.01,2,0,0,1,0,0
20,2x4,likert,RNK,0.05,4,0,0,1,0,0
20,2x4,likert,INT,0.05,4,0,0,1,0.25,0
20,2x4,likert,VDW,0.05,4,0,0,1,0.25,0
20,2x4,likert,KWF,0.05,4,0,0,1,0.25,0
20,2x4,likert,RNK,0.01,4,0,0,1,0,0
20,2x4,likert,INT,0.01,4,0,0,1,0,0
20,2x4,likert,VDW,0.01,4,0,0,1,0,0
20,2x4,likert,KWF,0.01,4,0,0,1,0,0
20,2x4,likert,RNK,0.05,8,0,0,1,0,0
20,2x4,likert,INT,0.05,8,0,0,1,0,0
20,2x4,likert,VDW,0.05,8,0,0,1,0,0
20,2x4,likert,KWF,0.05,8,0,0,1,0,0
20,2x4,likert,RNK,0.01,8,0,0,1,0,0
20,2x4,likert,INT,0.01,8,0,0,1,0,0
20,2x4,likert,VDW,0.01,8,0,0,1,0,0
20,2x4,likert,KWF,0.01,8,0,0,1,0,0
20,2x4,likert,RNK,0.05,0,0.5,0,0,0.5,0
20,2x4,likert,INT,0.05,0,0.5,0,0,0.5,0
20,2x4,likert,VDW,0.05,0,0.5,0,0,0.5,0
20,2x4,likert,KWF,0.05,0,0.5,0,0,0.5,0
20,2x4,likert,RNK,0.01,0,0.5,0,0,0,0
20,2x4,likert,INT,0.01,0,0.5,0,0,0,0
20,2x4,likert,VDW,0.01,0,0.5,0,0,0,0
20,2x4,likert,KWF,0.01,0,0.5,0,0,0,0
